Threshold,False Positive Rate (x),True Positive Rate (y)
0.350000,0.201245,0.927386
0.351000,0.201245,0.925311
0.352000,0.201245,0.925311
0.353000,0.201245,0.925311
0.354000,0.199170,0.925311
0.355000,0.199170,0.923237
0.356000,0.199170,0.923237
0.357000,0.199170,0.921162
0.358000,0.199170,0.921162
0.359000,0.199170,0.919087
0.360000,0.199170,0.919087
0.361000,0.197095,0.919087
0.362000,0.197095,0.919087
0.363000,0.197095,0.919087
0.364000,0.197095,0.919087
0.365000,0.197095,0.919087
0.366000,0.197095,0.919087
0.367000,0.195021,0.919087
0.368000,0.192946,0.919087
0.369000,0.192946,0.919087
0.370000,0.192946,0.919087
0.371000,0.192946,0.919087
0.372000,0.192946,0.917012
0.373000,0.192946,0.914938
0.374000,0.192946,0.914938
0.375000,0.192946,0.914938
0.376000,0.186722,0.914938
0.377000,0.186722,0.914938
0.378000,0.186722,0.914938
0.379000,0.186722,0.914938
0.380000,0.186722,0.914938
0.381000,0.186722,0.914938
0.382000,0.186722,0.912863
0.383000,0.186722,0.912863
0.384000,0.186722,0.912863
0.385000,0.186722,0.910788
0.386000,0.186722,0.908714
0.387000,0.184647,0.906639
0.388000,0.184647,0.906639
0.389000,0.184647,0.906639
0.390000,0.182573,0.906639
0.391000,0.180498,0.906639
0.392000,0.180498,0.906639
0.393000,0.180498,0.906639
0.394000,0.178423,0.906639
0.395000,0.178423,0.906639
0.396000,0.178423,0.904564
0.397000,0.178423,0.904564
0.398000,0.178423,0.904564
0.399000,0.178423,0.904564
0.400000,0.176349,0.902490
0.401000,0.176349,0.902490
0.402000,0.176349,0.902490
0.403000,0.176349,0.900415
0.404000,0.176349,0.900415
0.405000,0.176349,0.900415
0.406000,0.176349,0.898340
0.407000,0.176349,0.898340
0.408000,0.176349,0.898340
0.409000,0.176349,0.898340
0.410000,0.176349,0.894191
0.411000,0.176349,0.892116
0.412000,0.176349,0.892116
0.413000,0.176349,0.892116
0.414000,0.176349,0.892116
0.415000,0.174274,0.892116
0.416000,0.174274,0.892116
0.417000,0.174274,0.890041
0.418000,0.174274,0.890041
0.419000,0.174274,0.887967
0.420000,0.174274,0.887967
0.421000,0.174274,0.887967
0.422000,0.174274,0.887967
0.423000,0.172199,0.887967
0.424000,0.170124,0.887967
0.425000,0.170124,0.887967
0.426000,0.170124,0.887967
0.427000,0.170124,0.887967
0.428000,0.170124,0.885892
0.429000,0.170124,0.885892
0.430000,0.168050,0.885892
0.431000,0.168050,0.885892
0.432000,0.168050,0.883817
0.433000,0.168050,0.883817
0.434000,0.168050,0.883817
0.435000,0.168050,0.883817
0.436000,0.168050,0.883817
0.437000,0.165975,0.883817
0.438000,0.163900,0.883817
0.439000,0.163900,0.883817
0.440000,0.163900,0.883817
0.441000,0.163900,0.883817
0.442000,0.163900,0.883817
0.443000,0.161826,0.883817
0.444000,0.159751,0.883817
0.445000,0.159751,0.883817
0.446000,0.159751,0.881743
0.447000,0.157676,0.879668
0.448000,0.157676,0.879668
0.449000,0.157676,0.879668
0.450000,0.157676,0.879668
0.451000,0.157676,0.877593
0.452000,0.155602,0.877593
0.453000,0.155602,0.875519
0.454000,0.153527,0.875519
0.455000,0.153527,0.875519
0.456000,0.151452,0.875519
0.457000,0.151452,0.875519
0.458000,0.151452,0.875519
0.459000,0.151452,0.875519
0.460000,0.151452,0.873444
0.461000,0.151452,0.871369
0.462000,0.151452,0.869295
0.463000,0.151452,0.869295
0.464000,0.149378,0.869295
0.465000,0.149378,0.869295
0.466000,0.149378,0.869295
0.467000,0.149378,0.869295
0.468000,0.147303,0.869295
0.469000,0.147303,0.869295
0.470000,0.147303,0.869295
0.471000,0.147303,0.867220
0.472000,0.147303,0.865145
0.473000,0.147303,0.865145
0.474000,0.147303,0.865145
0.475000,0.147303,0.865145
0.476000,0.147303,0.863071
0.477000,0.147303,0.863071
0.478000,0.147303,0.863071
0.479000,0.147303,0.863071
0.480000,0.147303,0.863071
0.481000,0.147303,0.863071
0.482000,0.147303,0.863071
0.483000,0.147303,0.863071
0.484000,0.145228,0.863071
0.485000,0.145228,0.863071
0.486000,0.145228,0.863071
0.487000,0.145228,0.860996
0.488000,0.145228,0.860996
0.489000,0.145228,0.860996
0.490000,0.143154,0.860996
0.491000,0.143154,0.860996
0.492000,0.143154,0.858921
0.493000,0.143154,0.858921
0.494000,0.143154,0.858921
0.495000,0.141079,0.858921
0.496000,0.141079,0.858921
0.497000,0.141079,0.858921
0.498000,0.141079,0.858921
0.499000,0.141079,0.858921
0.500000,0.141079,0.858921
0.501000,0.141079,0.858921
0.502000,0.141079,0.858921
0.503000,0.141079,0.858921
0.504000,0.141079,0.858921
0.505000,0.141079,0.858921
0.506000,0.141079,0.858921
0.507000,0.141079,0.858921
0.508000,0.141079,0.856846
0.509000,0.141079,0.856846
0.510000,0.141079,0.854772
0.511000,0.141079,0.854772
0.512000,0.141079,0.854772
0.513000,0.141079,0.854772
0.514000,0.141079,0.854772
0.515000,0.139004,0.854772
0.516000,0.139004,0.854772
0.517000,0.139004,0.854772
0.518000,0.139004,0.854772
0.519000,0.136929,0.854772
0.520000,0.136929,0.854772
0.521000,0.136929,0.852697
0.522000,0.136929,0.852697
0.523000,0.136929,0.852697
0.524000,0.136929,0.852697
0.525000,0.136929,0.852697
0.526000,0.136929,0.852697
0.527000,0.136929,0.852697
0.528000,0.136929,0.852697
0.529000,0.134855,0.852697
0.530000,0.132780,0.852697
0.531000,0.132780,0.852697
0.532000,0.132780,0.852697
0.533000,0.130705,0.850622
0.534000,0.130705,0.850622
0.535000,0.130705,0.850622
0.536000,0.130705,0.850622
0.537000,0.130705,0.850622
0.538000,0.128631,0.850622
0.539000,0.128631,0.850622
0.540000,0.126556,0.848548
0.541000,0.126556,0.848548
0.542000,0.126556,0.848548
0.543000,0.124481,0.848548
0.544000,0.124481,0.848548
0.545000,0.124481,0.848548
0.546000,0.122407,0.848548
0.547000,0.122407,0.848548
0.548000,0.122407,0.848548
0.549000,0.120332,0.844398
0.550000,0.120332,0.844398
0.551000,0.118257,0.842324
0.552000,0.118257,0.842324
0.553000,0.118257,0.840249
0.554000,0.116183,0.840249
0.555000,0.116183,0.840249
0.556000,0.116183,0.840249
0.557000,0.116183,0.840249
0.558000,0.116183,0.840249
0.559000,0.116183,0.840249
0.560000,0.116183,0.840249
0.561000,0.116183,0.838174
0.562000,0.116183,0.836100
0.563000,0.116183,0.834025
0.564000,0.116183,0.834025
0.565000,0.116183,0.834025
0.566000,0.116183,0.831950
0.567000,0.116183,0.831950
0.568000,0.116183,0.831950
0.569000,0.116183,0.831950
0.570000,0.112033,0.831950
0.571000,0.112033,0.829876
0.572000,0.112033,0.829876
0.573000,0.112033,0.829876
0.574000,0.112033,0.829876
0.575000,0.112033,0.827801
0.576000,0.112033,0.825726
0.577000,0.112033,0.825726
0.578000,0.112033,0.825726
0.579000,0.112033,0.825726
0.580000,0.109959,0.825726
0.581000,0.109959,0.825726
0.582000,0.109959,0.825726
0.583000,0.109959,0.825726
0.584000,0.107884,0.825726
0.585000,0.107884,0.825726
0.586000,0.105809,0.825726
0.587000,0.105809,0.825726
0.588000,0.105809,0.825726
0.589000,0.105809,0.823651
0.590000,0.105809,0.823651
0.591000,0.105809,0.823651
0.592000,0.105809,0.823651
0.593000,0.103734,0.821577
0.594000,0.101660,0.821577
0.595000,0.101660,0.821577
0.596000,0.101660,0.821577
0.597000,0.099585,0.821577
0.598000,0.099585,0.821577
0.599000,0.099585,0.819502
0.600000,0.099585,0.819502
0.601000,0.097510,0.819502
0.602000,0.097510,0.819502
0.603000,0.097510,0.819502
0.604000,0.097510,0.817427
0.605000,0.097510,0.817427
0.606000,0.097510,0.815353
0.607000,0.097510,0.815353
0.608000,0.097510,0.815353
0.609000,0.095436,0.815353
0.610000,0.095436,0.815353
0.611000,0.095436,0.815353
0.612000,0.095436,0.815353
0.613000,0.095436,0.815353
0.614000,0.093361,0.813278
0.615000,0.093361,0.813278
0.616000,0.091286,0.813278
0.617000,0.091286,0.813278
0.618000,0.089212,0.813278
0.619000,0.087137,0.813278
0.620000,0.087137,0.813278
0.621000,0.085062,0.813278
0.622000,0.085062,0.813278
0.623000,0.085062,0.813278
0.624000,0.082988,0.813278
0.625000,0.082988,0.813278
0.626000,0.082988,0.813278
0.627000,0.082988,0.811203
0.628000,0.082988,0.811203
0.629000,0.082988,0.809129
0.630000,0.082988,0.809129
0.631000,0.080913,0.807054
0.632000,0.080913,0.807054
0.633000,0.080913,0.804979
0.634000,0.080913,0.804979
0.635000,0.080913,0.804979
0.636000,0.080913,0.804979
0.637000,0.080913,0.802905
0.638000,0.080913,0.802905
0.639000,0.080913,0.802905
0.640000,0.080913,0.802905
0.641000,0.080913,0.800830
0.642000,0.080913,0.800830
0.643000,0.080913,0.800830
0.644000,0.078838,0.800830
0.645000,0.078838,0.800830
0.646000,0.078838,0.800830
0.647000,0.076763,0.800830
0.648000,0.076763,0.798755
0.649000,0.074689,0.796680
0.650000,0.074689,0.796680
0.651000,0.074689,0.796680
0.652000,0.072614,0.796680
0.653000,0.072614,0.796680
0.654000,0.072614,0.796680
0.655000,0.072614,0.796680
0.656000,0.072614,0.796680
0.657000,0.072614,0.796680
0.658000,0.072614,0.796680
0.659000,0.072614,0.796680
0.660000,0.070539,0.796680
0.661000,0.068465,0.796680
0.662000,0.068465,0.796680
0.663000,0.068465,0.794606
0.664000,0.068465,0.794606
0.665000,0.068465,0.792531
0.666000,0.068465,0.792531
0.667000,0.066390,0.792531
0.668000,0.064315,0.792531
0.669000,0.064315,0.790456
0.670000,0.062241,0.790456
0.671000,0.062241,0.788382
0.672000,0.062241,0.788382
0.673000,0.062241,0.786307
0.674000,0.062241,0.786307
0.675000,0.062241,0.786307
0.676000,0.060166,0.786307
0.677000,0.060166,0.784232
0.678000,0.060166,0.784232
0.679000,0.060166,0.784232
0.680000,0.060166,0.782158
0.681000,0.060166,0.780083
0.682000,0.060166,0.778008
0.683000,0.060166,0.778008
0.684000,0.060166,0.778008
0.685000,0.060166,0.778008
0.686000,0.060166,0.775934
0.687000,0.060166,0.773859
0.688000,0.060166,0.771784
0.689000,0.060166,0.769710
0.690000,0.060166,0.767635
0.691000,0.060166,0.767635
0.692000,0.060166,0.767635
0.693000,0.060166,0.763485
0.694000,0.060166,0.763485
0.695000,0.060166,0.763485
0.696000,0.060166,0.763485
0.697000,0.060166,0.763485
0.698000,0.060166,0.759336
0.699000,0.060166,0.759336
0.700000,0.060166,0.759336
0.701000,0.060166,0.757261
0.702000,0.060166,0.757261
0.703000,0.060166,0.755187
0.704000,0.060166,0.755187
0.705000,0.060166,0.753112
0.706000,0.060166,0.753112
0.707000,0.060166,0.753112
0.708000,0.060166,0.753112
0.709000,0.060166,0.751037
0.710000,0.060166,0.751037
0.711000,0.060166,0.751037
0.712000,0.060166,0.751037
